Name,Geo_address,Latitude,Longitude
Acta Atrium Palace,"Gran Via de les Corts Catalanes, 656, 08010 Barcelona (Barcelona), Espanya, Barcelona, Catalunya 08010, ESP",41.390913,2.1706981
Sansi Pedralbes,"Avinguda de Pearson, 1, 08034 Barcelona (Barcelona), Espanya, Barcelona, Catalunya 08034, ESP",41.39367,2.1115418
Crowne Plaza Barcelona Fira Center,"Avinguda de Rius i Taulet, 3, 08004 Barcelona (Barcelona), Espanya, Barcelona, Catalunya 08004, ESP",41.3725246,2.1540788
Exe Laietana Palace,"Via Laietana, 17, 08003 Barcelona (Barcelona), Espanya, Barcelona, Catalunya 08003, ESP",41.3833541,2.1794038
U232 Hotel,"Carrer del Comte d'Urgell, 230, 08036 Barcelona (Barcelona), Espanya, Barcelona, Catalunya 08036, ESP",41.3895237,2.1490307
Alma Barcelona GL,"Carrer de Mallorca, 269, 08008 Barcelona (Barcelona), Espanya, Barcelona, Catalunya 08008, ESP",41.3945074,2.1632659
Eurostars Cristal Palace,"Carrer de la Diputació, 257, 08007 Barcelona (Barcelona), Espanya, Barcelona, Catalunya 08007, ESP",41.3897945,2.1660575
The Level at Melia Barcelona Sky,"Carrer de Lope de Vega, 141, 08005 Barcelona (Barcelona), Espanya, Barcelona, Catalunya 08005, ESP",41.406146,2.2008636
ABaC Restaurant Hotel Barcelona GL Monumento,"Avinguda del Tibidabo, 1, 08022 Barcelona (Barcelona), Espanya, Barcelona, Catalunya 08022, ESP",41.4106944,2.136294
TWO Hotel Barcelona by Axel 4 Sup Adults Only,"Carrer de Calàbria, 90, 08015 Barcelona (Barcelona), Espanya, Barcelona, Catalunya 08015, ESP",41.37913,2.1561186
Hotel Espa a Ramblas,"Carrer de Sant Pau, 11, 08001 Barcelona (Barcelona), Espanya, Barcelona, Catalunya 08001, ESP",41.3799209,2.1728181
Hotel DO Pla a Reial G L,"Plaça Reial, 1, 08002 Barcelona (Barcelona), Espanya, Barcelona, Catalunya 08002, ESP",41.3799929,2.1748256
Room Mate Gerard,"Carrer d'Ausiàs March, 42, 08010 Barcelona (Barcelona), Espanya, Barcelona, Catalunya 08010, ESP",41.3919114,2.1765438
Aparthotel Mariano Cubi Barcelona,"Carrer de Marià Cubí, 62, 08006 Barcelona (Barcelona), Espanya, Barcelona, Catalunya 08006, ESP",41.3982129,2.1494179
Condes de Barcelona,"Passeig de Gràcia, 73, 08008 Barcelona (Barcelona), Espanya, Barcelona, Catalunya 08008, ESP",41.3935497,2.1627098
Roger de Ll ria,"Carrer de Roger de Llúria, 28, 08010 Barcelona (Barcelona), Espanya, Barcelona, Catalunya 08010, ESP",41.3910786,2.1717285
H10 Port Vell 4 Sup,"Pas de Sota Muralla, 9, 08003 Barcelona (Barcelona), Espanya, Barcelona, Catalunya 08003, ESP",41.3815625,2.1838458
Upper Diagonal,"Carrer del Marquès de Mulhacén, 2, 08034 Barcelona (Barcelona), Espanya, Barcelona, Catalunya 08034, ESP",41.39038,2.121
Hotel Garbi Millenni,"Carrer de les Flors, 24, 08001 Barcelona (Barcelona), Espanya, Barcelona, Catalunya 08001, ESP",41.3759896,2.167148
K K Hotel Picasso,"Passeig de Picasso, 26, 08003 Barcelona (Barcelona), Espanya, Barcelona, Catalunya 08003, ESP",41.3866227,2.1840722
Guitart Grand Passage,"Carrer de Muntaner, 212, 08036 Barcelona (Barcelona), Espanya, Barcelona, Catalunya 08036, ESP",41.3936071,2.1504611
H10 Cubik 4 Sup,"Via Laietana, 69, 08003 Barcelona (Barcelona), Espanya, Barcelona, Catalunya 08003, ESP",41.388024,2.1731556
Barcel Raval,"Rambla del Raval, 17, 08001 Barcelona (Barcelona), Espanya, Barcelona, Catalunya 08001, ESP",41.3790126,2.1696339
Gran Hotel La Florida,"Carretera de Vallvidrera al Tibidabo, 87, 08035 Barcelona (Barcelona), Espanya, Barcelona, Catalunya 08035, ESP",41.4253332,2.1211028
Abba Garden,"Carrer de Tenerife, 08950 Esplugues de Llobregat (Barcelona), Espanya, Esplugues de Llobregat, Catalunya 08950, ESP",41.3854716,2.1018835
Barcelona Hotel Colonial,"Via Laietana, 3, 08003 Barcelona (Barcelona), Espanya, Barcelona, Catalunya 08003, ESP",41.3822909,2.1807447
Mandarin Oriental Barcelona,"Passeig de Gràcia, 40, 08007 Barcelona (Barcelona), Espanya, Barcelona, Catalunya 08007, ESP",41.391393,2.1668467
Hotel Neri,"Carrer de Sant Felip Neri, 1, 08002 Barcelona (Barcelona), Espanya, Barcelona, Catalunya 08002, ESP",41.3832498,2.1753483
H10 Itaca,"Avinguda de Roma, 22, 08015 Barcelona (Barcelona), Espanya, Barcelona, Catalunya 08015, ESP",41.3810311,2.1455516
Hotel Regina,"Carrer de Bergara, 4, 08002 Barcelona (Barcelona), Espanya, Barcelona, Catalunya 08002, ESP",41.3858891,2.1681652
Hotel Gran Derby Suites,"Carrer de Loreto, 28, 08029 Barcelona (Barcelona), Espanya, Barcelona, Catalunya 08029, ESP",41.3900104,2.1422396
Evenia Rossello,"Carrer del Rosselló, 191, 08036 Barcelona (Barcelona), Espanya, Barcelona, Catalunya 08036, ESP",41.3920254,2.1554675
Vincci Mae,"Avinguda Diagonal, 594, 08021 Barcelona (Barcelona), Espanya, Barcelona, Catalunya 08021, ESP",41.3933943,2.1461315
Hotel Spa Villa Olimpica Suites,"Carrer de Pallars, 119, 08018 Barcelona (Barcelona), Espanya, Barcelona, Catalunya 08018, ESP",41.3971434,2.1921947
